hour,solar_cf,wind_cf,hydro_cf,demand_factor
0,0.00,0.35,0.40,0.65
1,0.00,0.33,0.38,0.60
2,0.00,0.30,0.35,0.55
3,0.00,0.28,0.33,0.52
4,0.00,0.27,0.32,0.50
5,0.00,0.28,0.35,0.52
6,0.02,0.30,0.40,0.58
7,0.10,0.32,0.45,0.70
8,0.25,0.33,0.48,0.80
9,0.40,0.32,0.50,0.88
10,0.55,0.30,0.50,0.92
11,0.65,0.28,0.48,0.95
12,0.70,0.27,0.45,0.96
13,0.68,0.28,0.45,0.94
14,0.62,0.30,0.48,0.92
15,0.52,0.32,0.50,0.90
16,0.38,0.35,0.52,0.92
17,0.22,0.38,0.55,0.95
18,0.08,0.40,0.55,1.00
19,0.00,0.42,0.52,0.98
20,0.00,0.40,0.48,0.95
21,0.00,0.38,0.45,0.88
22,0.00,0.37,0.42,0.78
23,0.00,0.36,0.40,0.70
